Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Using Spatial Augmented Reality in Synchronous Collaborative Design","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-642-40840-3_1","Samia Ben RajebPierre Leclercq","2013","http://link.springer.com/chapter/10.1007/978-3-642-40840-3_1","Chapter"
"Agent-Based Personal Assistance in Collaborative Design Environments","Computer Supported Cooperative Work in Design II","","","","10.1007/11686699_29","Yue ZhangHamada GhenniwaWeiming Shen","2006","http://link.springer.com/chapter/10.1007/11686699_29","Chapter"
"DESIGNWORLD: A MULTIDISCIPLINARY COLLABORATIVE DESIGN ENVIRONMENT USING AGENTS IN A VIRTUAL WORLD","Design Computing and Cognition ’06","","","","10.1007/978-1-4020-5131-9_36","MICHAEL ROSENMAN KATHRYN MERRICK MARY LOU MAHERDAVID MARCHANT","2006","http://link.springer.com/chapter/10.1007/978-1-4020-5131-9_36","Chapter"
"G-Form: A Collaborative Design Approach to Regard Deep Web Form as Galaxy of Concepts","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-319-24132-6_20","Radhouane BoughammouraLobna HlaouaMohamed Nazih Omri","2015","http://link.springer.com/chapter/10.1007/978-3-319-24132-6_20","Chapter"
"Exploring the Relationship between Thinking Style and Collaborative Design Outcomes","HCI International 2011 – Posters’ Extended Abstracts","","","","10.1007/978-3-642-22098-2_13","Chiung-Cheng LiaoWenzhi ChenHsien-Hui Tang","2011","http://link.springer.com/chapter/10.1007/978-3-642-22098-2_13","Chapter"
"An ASP-based Distributed Collaborative Design System","Systems Modeling and Simulation","","","","10.1007/978-4-431-49022-7_44","Linxuan ZhangTianyuan XiaoCe LiangChangchang HuWenhui Fan","2007","http://link.springer.com/chapter/10.1007/978-4-431-49022-7_44","Chapter"
"Online Collaborative Design Within a Web-Enabled Environment","Computer Supported Cooperative Work in Design I","","","","10.1007/11568421_21","Daizhong SuJiansheng LiShuyan Ji","2005","http://link.springer.com/chapter/10.1007/11568421_21","Chapter"
"PHM Collaborative Design in Aircrafts Based on Work Breakdown Structure","Engineering Asset Management - Systems, Professional Practices and Certification","","","","10.1007/978-3-319-09507-3_142","Ying MaWenjin ZhangJie Meng","2015","http://link.springer.com/chapter/10.1007/978-3-319-09507-3_142","Chapter"
"An Integrated Laboratory for Collaborative Design in the Air Transportation System","Concurrent Engineering Approaches for Sustainable Product Development in a Multi-Disciplinary Environment","","","","10.1007/978-1-4471-4426-7_85","Arne BachmannJesse LakemeierErwin Moerland","2013","http://link.springer.com/chapter/10.1007/978-1-4471-4426-7_85","Chapter"
"Implementation Challenges of Annotated 3D Models in Collaborative Design Environments","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-319-10831-5_33","Jorge CambaManuel ConteroGustavo Salvador-Herranz","2014","http://link.springer.com/chapter/10.1007/978-3-319-10831-5_33","Chapter"
"A Pedagogical Game based on Lego Bricks for Collaborative Design Practices Analysis","Complex Systems Concurrent Engineering","","","","10.1007/978-1-84628-976-7_54","Jérémy LegardeurStéphanie MinelErika Savoie","2007","http://link.springer.com/chapter/10.1007/978-1-84628-976-7_54","Chapter"
"Dynamics Of State-Problems and Design Intermediate Objects in Distributed And Collaborative Design Process","Digital Enterprise Technology","","","","10.1007/978-0-387-49864-5_21","Reza Movahed khahEgon OstrosiOlivier Garro","2007","http://link.springer.com/chapter/10.1007/978-0-387-49864-5_21","Chapter"
"Do Tangible User Interfaces Impact Spatial Cognition in Collaborative Design?","Cooperative Design, Visualization, and Engineering","","","","10.1007/11555223_4","Mary Lou MaherMi Jeong Kim","2005","http://link.springer.com/chapter/10.1007/11555223_4","Chapter"
"Generative Design in an Agent Based Collaborative Design System","Computer Supported Cooperative Work in Design I","","","","10.1007/11568421_11","Hong LiuLiping GaoXiyu Liu","2005","http://link.springer.com/chapter/10.1007/11568421_11","Chapter"
"Collaborative Design and Manufacture Supported by Multiple Web/Internet Techniques","Computer Supported Cooperative Work in Design II","","","","10.1007/11686699_49","Daizhong SuJiansheng LiYu XiongYongjun Zheng","2006","http://link.springer.com/chapter/10.1007/11686699_49","Chapter"
"Studying an Author-Oriented Approach to Procedural Content Generation through Participatory Design","Entertainment Computing - ICEC 2015","","","","10.1007/978-3-319-24589-8_30","Rui CraveirinhaLicinio Roque","2015","http://link.springer.com/chapter/10.1007/978-3-319-24589-8_30","Chapter"
"Study of Collaborative Design Based on Fuzzy Theory","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-642-16066-0_24","Tieming SuXinpeng QiuChunyan Yang","2010","http://link.springer.com/chapter/10.1007/978-3-642-16066-0_24","Chapter"
"Application Research on Multi-agent Distributed Technology in Instrument Products Collaborative Design System","Proceedings of the 6th CIRP-Sponsored International Conference on Digital Enterprise Technology","","","","10.1007/978-3-642-10430-5_23","Qing-Wei DongWei MaJi-Shun LiYu-Jun XueXian-Zhao Jia","2010","http://link.springer.com/chapter/10.1007/978-3-642-10430-5_23","Chapter"
"Expression of Design Problem by Design Space Model to Support Collaborative Design in Basic Plan of Architectural Design","Life System Modeling and Intelligent Computing","","","","10.1007/978-3-642-15621-2_47","Yoshiaki TegoshiZhihua ZhangZhou Su","2010","http://link.springer.com/chapter/10.1007/978-3-642-15621-2_47","Chapter"
"A Complex Systems Perspective on Collaborative Design","Unifying Themes in Complex Systems IV","","","","10.1007/978-3-540-73849-7_1","Mark KleinPeyman FaratinHiroki SayamaYaneer Bar-Yam","2008","http://link.springer.com/chapter/10.1007/978-3-540-73849-7_1","Chapter"
"Possibility of Participatory Design","Human Centered Design","","","","10.1007/978-3-642-02806-9_102","Makoto Okamoto","2009","http://link.springer.com/chapter/10.1007/978-3-642-02806-9_102","Chapter"
"Stakeholder Involvement Guidelines to Improve the Design Process of Assistive Technology","Impact Analysis of Solutions for Chronic Disease Prevention and Management","","","","10.1007/978-3-642-30779-9_26","Leo GalwaySonja O’NeillMark DonnellyChris NugentSally McCleanBryan Scotney","2012","http://link.springer.com/chapter/10.1007/978-3-642-30779-9_26","Chapter"
"New Challenges for Participation in Participatory Design in Family, Clinical and Other Asymmetrical, Non-work Settings","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03658-3_136","Olav Wedege BertelsenPer-Olof Hedvall","2009","http://link.springer.com/chapter/10.1007/978-3-642-03658-3_136","Chapter"
"Function and Form of Gestures in a Collaborative Design Meeting","Gesture in Embodied Communication and Human-Computer Interaction","","","","10.1007/978-3-642-12553-9_6","Willemien Visser","2010","http://link.springer.com/chapter/10.1007/978-3-642-12553-9_6","Chapter"
"An Agent-Based Early Manufacturability Assessment for Collaborative Design in Coating Process","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/978-3-540-74827-4_82","Chii-Ruey LinPei-Shu FanYea-Jou ShiauMuDer Jeng","2007","http://link.springer.com/chapter/10.1007/978-3-540-74827-4_82","Chapter"
"Fuzzy Multiple Attributive Group Decision-Making for Conflict Resolution in Collaborative Design","Fuzzy Systems and Knowledge Discovery","","","","10.1007/11881599_123","Xinyu ShaoLi ZhangLiang GaoRui Chen","2006","http://link.springer.com/chapter/10.1007/11881599_123","Chapter"
"Knowledge Management Challenges in Collaborative Design of a Virtual Call Centre","Knowlege-Based and Intelligent Information and Engineering Systems","","","","10.1007/978-3-642-23863-5_67","Marcin SikorskiIgor GarnikBohdan LudwiszewskiJan Wyrwiński","2011","http://link.springer.com/chapter/10.1007/978-3-642-23863-5_67","Chapter"
"IMPROVE: Collaborative Design Review in Mobile Mixed Reality","Virtual Reality","","","","10.1007/978-3-540-73335-5_59","Pedro SantosAndré StorkThomas GierlingerAlain PaganiBruno AraújoRicardo JotaLuis BrunoJoaquim JorgeJoao Madeiras PereiraMartin WitzelGiuseppe ContiRaffaele de AmicisIñigo BarandarianCéline PalocOliver MachuiJose M. Jiménez","2007","http://link.springer.com/chapter/10.1007/978-3-540-73335-5_59","Chapter"
"Specification of Product Modelling Concepts Dedicated to Information Sharing in a Collaborative Design Context","Advances in Integrated Design and Manufacturing in Mechanical Engineering","","","","10.1007/1-4020-3482-2_11","Frédéric NoëlLionel RoucoulesDenis Teissandier","2005","http://link.springer.com/chapter/10.1007/1-4020-3482-2_11","Chapter"
"A Web-Based Collaborative Design Tool for Micro Manufacture","Proceedings of the 6th CIRP-Sponsored International Conference on Digital Enterprise Technology","","","","10.1007/978-3-642-10430-5_25","Xiaojun DaiW. D. Li","2010","http://link.springer.com/chapter/10.1007/978-3-642-10430-5_25","Chapter"
"Exploring the Influence of Cultural Diversity in Collaborative Design Teams: Preliminary Findings","Human-Computer Interaction","","","","10.1007/978-3-642-15231-3_24","Vivian Hsueh-Hua ChenHenry Been-Lirn Duh","2010","http://link.springer.com/chapter/10.1007/978-3-642-15231-3_24","Chapter"
"Collaborative Design Tools: A Comparison between Free Software and PLM Solutions in Engineering Education","Product Lifecycle Management. Towards Knowledge-Rich Enterprises","","","","10.1007/978-3-642-35758-9_49","Nicolas MaranzanaFrédéric SegondsFrédéric LesageJulien Nelson","2012","http://link.springer.com/chapter/10.1007/978-3-642-35758-9_49","Chapter"
"Using Design Paradigms to Evaluate the Collaborative Design Process of Traditional and Digital Media","Design Computing and Cognition '08","","","","10.1007/978-1-4020-8728-8_23","Hsien-Hui TangYung-Ying Lee","2008","http://link.springer.com/chapter/10.1007/978-1-4020-8728-8_23","Chapter"
"Spatial Augmented Reality in Collaborative Design Training: Articulation between I-Space, We-Space and Space-Between","Virtual, Augmented and Mixed Reality. Applications of Virtual and Augmented Reality","","","","10.1007/978-3-319-07464-1_32","Samia Ben RajebPierre Leclercq","2014","http://link.springer.com/chapter/10.1007/978-3-319-07464-1_32","Chapter"
"Helaba: A System to Highlight Design Rationale in Collaborative Design Processes","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-319-24132-6_21","Marisela Gutierrez LopezMieke HaesenKris LuytenKarin Coninx","2015","http://link.springer.com/chapter/10.1007/978-3-319-24132-6_21","Chapter"
"IMPROVE: Advanced Displays and Interaction Techniques for Collaborative Design Review","Virtual Reality","","","","10.1007/978-3-540-73335-5_41","Pedro SantosAndré StorkThomas GierlingerAlain PaganiBruno AraújoRicardo JotaLuis BrunoJoaquim JorgeJoao Madeiras PereiraMartin WitzelGiuseppe ContiRaffaele de AmicisIñigo BarandarianCéline PalocMaylu HafnerDon McIntyre","2007","http://link.springer.com/chapter/10.1007/978-3-540-73335-5_41","Chapter"
"Participatory Design of a Cooperative Exploration Mediation Tool for Human Deep Space Risk Mitigation","Engineering Psychology and Cognitive Ergonomics","","","","10.1007/978-3-319-07515-0_37","Donald PlattPatrick MillotGuy Andre Boy","2014","http://link.springer.com/chapter/10.1007/978-3-319-07515-0_37","Chapter"
"Towards a Methodology for the Participatory Design of Agent-Based Models","Principles and Practice of Multi-Agent Systems","","","","10.1007/978-3-642-25920-3_31","Thanh-Quang ChuAlexis DrogoulAlain BoucherJean-Daniel Jucker","2012","http://link.springer.com/chapter/10.1007/978-3-642-25920-3_31","Chapter"
"A Robot of My Own: Participatory Design of Socially Assistive Robots for Independently Living Older Adults Diagnosed with Depression","Human Aspects of IT for the Aged Population. Design for Aging","","","","10.1007/978-3-319-20892-3_11","Selma ŠabanovićWan-Ling ChangCasey C. BennettJennifer A. PiattDavid Hakken","2015","http://link.springer.com/chapter/10.1007/978-3-319-20892-3_11","Chapter"
"Participatory Design for Cultural Representation: A Cultural Transparency Perspective","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40498-6_52","Amalia G. SabiescuNemanja Memarovic","2013","http://link.springer.com/chapter/10.1007/978-3-642-40498-6_52","Chapter"
"Mapping the Users’ Problem Solving Strategies in the Participatory Design of Visual Analytics Methods","HCI in Work and Learning, Life and Leisure","","","","10.1007/978-3-642-16607-5_1","Eva MayrMichael SmucHanna RiskuWolfgang AignerAlessio BertoneTim LammarschSilvia Miksch","2010","http://link.springer.com/chapter/10.1007/978-3-642-16607-5_1","Chapter"
"Digital Human Model Based Participatory Design Method to Improve Work Tasks and Workplaces","Digital Human Modeling","","","","10.1007/978-3-540-73321-8_96","Kaj HelinJuhani ViitaniemiJari MontonenSusanna AromaaTimo Määttä","2007","http://link.springer.com/chapter/10.1007/978-3-540-73321-8_96","Chapter"
"Participatory Design of Public Sector Services","Electronic Government and the Information Systems Perspective","","","","10.1007/978-3-642-15172-9_21","Alan HartmanAnshu N. JainJay RamanathanAntonis RamfosWillem-Jan Van der HeuvelChristian ZirpinsStefan TaiYannis CharalabidisA. PasicT. JohannessenT. Grønsund","2010","http://link.springer.com/chapter/10.1007/978-3-642-15172-9_21","Chapter"
"Designing with Dementia: Guidelines for Participatory Design together with Persons with Dementia","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40483-2_46","Niels HendriksFrederik TruyenErik Duval","2013","http://link.springer.com/chapter/10.1007/978-3-642-40483-2_46","Chapter"
"Participatory Design with Blind Users: A Scenario-Based Approach","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40483-2_48","Nuzhah Gooda SahibTony StockmanAnastasios TombrosOussama Metatla","2013","http://link.springer.com/chapter/10.1007/978-3-642-40483-2_48","Chapter"
"Content Prototyping – An Approach for Engaging Non-technical Users in Participatory Design","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40483-2_56","Maletsabisa MolapoGary Marsden","2013","http://link.springer.com/chapter/10.1007/978-3-642-40483-2_56","Chapter"
"Using Machine Learning to Support Continuous Ontology Development","Knowledge Engineering and Management by the Masses","","","","10.1007/978-3-642-16438-5_28","Maryam RamezaniHans Friedrich WitschelSimone BraunValentin Zacharias","2010","http://link.springer.com/chapter/10.1007/978-3-642-16438-5_28","Chapter"
"Collaborative Practices that Support Creativity in Design","ECSCW 2009","","","","10.1007/978-1-84882-854-4_9","Dhaval VyasDirk HeylenAnton NijholtGerrit van der Veer","2009","http://link.springer.com/chapter/10.1007/978-1-84882-854-4_9","Chapter"
"A Process Model for Crowdsourcing Design: A Case Study in Citizen Science","Design Computing and Cognition '14","","","","10.1007/978-3-319-14956-1_14","Kazjon GraceMary Lou MaherJennifer PreeceTom YehAbigale StangleCarol Boston","2015","http://link.springer.com/chapter/10.1007/978-3-319-14956-1_14","Chapter"
"Embedding Impact into the Development of Digital Collections: Rhyfel Byd 1914-1918 a’r Profiad Cymreig / Welsh Experience of the First World War 1914-1918","Research and Advanced Technology for Digital Libraries","","","","10.1007/978-3-642-40501-3_51","Lorna Hughes","2013","http://link.springer.com/chapter/10.1007/978-3-642-40501-3_51","Chapter"
"The MASH Project","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-23808-6_43","François FleuretPhilip AbbetCharles DuboutLeonidas Lefakis","2011","http://link.springer.com/chapter/10.1007/978-3-642-23808-6_43","Chapter"
"An Agent-Based System Supporting Collaborative Product Design","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/11893004_86","Jian Xun WangMing Xi Tang","2006","http://link.springer.com/chapter/10.1007/11893004_86","Chapter"
"Technique for Evaluating Photo Sharing Interfaces with the Early Prototypes - Group Simulation","Human Factors in Computing and Informatics","","","","10.1007/978-3-642-39062-3_3","Jarno Aulis Olavi OjalaDhaval VyasArto Juhani Lehtiniemi","2013","http://link.springer.com/chapter/10.1007/978-3-642-39062-3_3","Chapter"
"Integration of Collective Knowledge in Fuzzy Models Supporting Web Design Process","Computational Collective Intelligence. Technologies and Applications","","","","10.1007/978-3-642-23938-0_40","Jaroslaw Jankowski","2011","http://link.springer.com/chapter/10.1007/978-3-642-23938-0_40","Chapter"
"Dealing with Threshold Concepts in Serious Games for Competence Development","Serious Games Development and Applications","","","","10.1007/978-3-642-33687-4_13","Stefano BocconiYulia BachvarovaMartin RuskovManuel Fradinho Oliveira","2012","http://link.springer.com/chapter/10.1007/978-3-642-33687-4_13","Chapter"
"A Model for Cooperative Design Based on Multi-Agent System","Artificial Intelligence and Computational Intelligence","","","","10.1007/978-3-642-16530-6_41","Hua ChenJun ZhaoBo Sun","2010","http://link.springer.com/chapter/10.1007/978-3-642-16530-6_41","Chapter"
"A Multi-agent Framework for Collaborative Product Design","Agent Computing and Multi-Agent Systems","","","","10.1007/11802372_52","Jian Xun WangMing Xi Tang","2006","http://link.springer.com/chapter/10.1007/11802372_52","Chapter"
"A Service-Oriented Modeling Approach for Distributed Management of Multidisciplinary Design Knowledge in the Semantic Grid","Fuzzy Systems and Knowledge Discovery","","","","10.1007/11881599_75","W. Y. ZhangL. ZhangY. Xie","2006","http://link.springer.com/chapter/10.1007/11881599_75","Chapter"
"Narrative Threads: A Tool to Support Young People in Creating Their Own Narrative-Based Computer Games","Transactions on Edutainment X","","","","10.1007/978-3-642-37919-2_7","Katherine HowlandJudith GoodBenedict du Boulay","2013","http://link.springer.com/chapter/10.1007/978-3-642-37919-2_7","Chapter"
"Robust Parameter Decision-Making Based on Multidisciplinary Knowledge Model","Modeling Decisions for Artificial Intelligence","","","","10.1007/978-3-540-73729-2_41","Jie HuYinghong PengGuangleng Xiong","2007","http://link.springer.com/chapter/10.1007/978-3-540-73729-2_41","Chapter"
"INTELLIGENT SOLUTION EVALUATION BASED ON ALTERNATIVE USER PROFILES","Enterprise Information Systems VII","","","","10.1007/978-1-4020-5347-4_12","Georgios BardisGeorgios MiaoulisDimitri Plemenos","2006","http://link.springer.com/chapter/10.1007/978-1-4020-5347-4_12","Chapter"
"Multi-agent Simulation to Implementation: A Practical Engineering Methodology for Designing Space Flight Operations","Engineering Societies in the Agents World VIII","","","","10.1007/978-3-540-87654-0_5","William J. ClanceyMaarten SierhuisChin SeahChris BuckleyFisher ReynoldsTim HallMike Scott","2008","http://link.springer.com/chapter/10.1007/978-3-540-87654-0_5","Chapter"
"Exploring a P2P Based Collaborative Feature Modeling through a Procedural 3D CAD Language","AsiaSim 2012","","","","10.1007/978-3-642-34384-1_28","Jiacai WangIchiro Hagiwara","2012","http://link.springer.com/chapter/10.1007/978-3-642-34384-1_28","Chapter"
"The ReflecTable: Bridging the Gap between Theory and Practice in Design Education","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40480-1_44","Jonathan HookThomas HjermitslevOle Sejer IversenPatrick Olivier","2013","http://link.springer.com/chapter/10.1007/978-3-642-40480-1_44","Chapter"
"Communication Choices to Engage Participation of Rural Indonesian Craftspeople in Development Projects","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40483-2_55","Ellya ZulaikhaMargot Brereton","2013","http://link.springer.com/chapter/10.1007/978-3-642-40483-2_55","Chapter"
"A Multi-disciplinary Approach in the Development of a Stroke Rehabilitation Tool","Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-319-07227-2_34","Marie SjölinderMaria EhnInga-Lill BomanMia FolkePär HanssonDisa SommerfeldStina NylanderJörgen Borg","2014","http://link.springer.com/chapter/10.1007/978-3-319-07227-2_34","Chapter"
"Methodological Capabilities for Emergent Design","Human-Computer Interaction. Theories, Methods, and Tools","","","","10.1007/978-3-319-07233-3_11","Carl M. OlssonJeanette Eriksson","2014","http://link.springer.com/chapter/10.1007/978-3-319-07233-3_11","Chapter"
"Generating Directions for Persuasive Technology Design with the Inspiration Card Workshop","Persuasive Technology","","","","10.1007/978-3-642-13226-1_26","Janet Davis","2010","http://link.springer.com/chapter/10.1007/978-3-642-13226-1_26","Chapter"
"e-Business Challenges and Directions: Important Themes from the First ICE-B Workshop","e-Business and Telecommunications","","","","10.1007/978-3-642-25206-8_1","David MarcaRebecca BulanderCornelia KruslinBoris ShishkovMarten van Sinderen","2012","http://link.springer.com/chapter/10.1007/978-3-642-25206-8_1","Chapter"
"Culturally Adaptive Software: Moving Beyond Internationalization","Usability and Internationalization. Global and Local User Interfaces","","","","10.1007/978-3-540-73289-1_25","Katharina ReineckeAbraham Bernstein","2007","http://link.springer.com/chapter/10.1007/978-3-540-73289-1_25","Chapter"
"IMPACT OF COLLABORATIVE VIRTUAL ENVIRONMENTS ON DESIGN BEHAVIOUR","Design Computing and Cognition ’06","","","","10.1007/978-1-4020-5131-9_16","MARY LOU MAHERZAFER BILDALEMAN FIGEN GÜL","2006","http://link.springer.com/chapter/10.1007/978-1-4020-5131-9_16","Chapter"
"Interactive Learning of Expert Criteria for Rescue Simulations","Intelligent Agents and Multi-Agent Systems","","","","10.1007/978-3-540-89674-6_16","Thanh-Quang ChuAlain BoucherAlexis DrogoulDuc-An VoHong-Phuong NguyenJean-Daniel Zucker","2008","http://link.springer.com/chapter/10.1007/978-3-540-89674-6_16","Chapter"
"Multi-agent Support for Distributed Engineering Design","Innovations in Applied Artificial Intelligence","","","","10.1007/11504894_23","Camelia ChiraOvidiu ChiraThomas Roche","2005","http://link.springer.com/chapter/10.1007/11504894_23","Chapter"
"CaFé: A Group Process to Rationalize Technologies in Hybrid AAMAS Systems","Engineering Multi-Agent Systems","","","","10.1007/978-3-319-14484-9_12","H. Van Dyke ParunakMarcus HuberRandolph JonesMichael QuistJack Zaientz","2014","http://link.springer.com/chapter/10.1007/978-3-319-14484-9_12","Chapter"
"Managing Knowledge-Intensive Business Processes by Harnessing Collective Practical Experience without Codification","S-BPM ONE - Application Studies and Work in Progress","","","","10.1007/978-3-319-06191-7_7","Andreas FinkSimon Vogt","2014","http://link.springer.com/chapter/10.1007/978-3-319-06191-7_7","Chapter"
"Conceptual Model of Activity as Tool for Developing a Dementia Care Support System","Knowledge Management In Action","","","","10.1007/978-0-387-09659-9_7","Helena Lindgren","2008","http://link.springer.com/chapter/10.1007/978-0-387-09659-9_7","Chapter"
"A Meta-Model for Knowledge Representation Integrating Maturity for Decision Making in Engineering Design","Product Lifecycle Management for Society","","","","10.1007/978-3-642-41501-2_39","Nicolas DrémontNadège TroussierRobert Ian WhitfieldAlex Duffy","2013","http://link.springer.com/chapter/10.1007/978-3-642-41501-2_39","Chapter"
"Collective Intelligence Support Protocol","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-319-24132-6_18","Alexandru SenciucIrene PluchinottaSamia Ben Rajeb","2015","http://link.springer.com/chapter/10.1007/978-3-319-24132-6_18","Chapter"
"Co-creation Patterns between Designers and Users in the Design Process: A View of Reflexivity","Advancing the Impact of Design Science: Moving from Theory to Practice","","","","10.1007/978-3-319-06701-8_3","Jaehyun ParkHyun-A. Park","2014","http://link.springer.com/chapter/10.1007/978-3-319-06701-8_3","Chapter"
"Development of Novel eHealth Services for Citizen Use – Current System Engineering vs. Best Practice in HCI","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40480-1_24","Isabella ScandurraJesper HolgerssonThomas LindGunilla Myreteg","2013","http://link.springer.com/chapter/10.1007/978-3-642-40480-1_24","Chapter"
"Meta-design: Expanding Boundaries and Redistributing Control in Design","Human-Computer Interaction – INTERACT 2007","","","","10.1007/978-3-540-74796-3_19","Gerhard Fischer","2007","http://link.springer.com/chapter/10.1007/978-3-540-74796-3_19","Chapter"
"Are Smart Products Foiling Automated Design?","Smart Product Engineering","","","","10.1007/978-3-642-30817-8_93","Patrick KleinJohannes LützenbergerKlaus-Dieter Thoben","2013","http://link.springer.com/chapter/10.1007/978-3-642-30817-8_93","Chapter"
"User-Centered Design between Cultures: Designing for and with Immigrants","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40498-6_65","Jan BobethStephanie SchreitterSusanne SchmehlStephanie DeutschManfred Tscheligi","2013","http://link.springer.com/chapter/10.1007/978-3-642-40498-6_65","Chapter"
