Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An ontology-based method for knowledge integration in a collaborative design environment","The International Journal of Advanced Manufacturing Technology","","34","9 - 10","10.1007/s00170-006-0670-8","Ling LingYujin HuXuelin WangChenggang Li","2007","http://link.springer.com/article/10.1007/s00170-006-0670-8","Article"
"Using Participatory Design to Inform the Connected and Open Research Ethics (CORE) Commons","Science and Engineering Ethics","","26","1","10.1007/s11948-019-00086-3","John HarlowNadir WeibelRasheed Al KotobVincent ChanCinnamon BlossRubi Linares-OrozcoMichelle TakemotoCamille Nebeker","2020","http://link.springer.com/article/10.1007/s11948-019-00086-3","Article"
"26th Annual Conference of the International Society for Quality 
of Life Research","Quality of Life Research","","28","1","10.1007/s11136-019-02257-y","","2019","http://link.springer.com/article/10.1007/s11136-019-02257-y","Article"
"A Machine Learning Approach for Mechanism Selection in Complex Negotiations","Journal of Systems Science and Systems Engineering","","27","2","10.1007/s11518-018-5369-5","Reyhan AydoğanIvan Marsa-MaestreMark KleinCatholijn M. Jonker","2018","http://link.springer.com/article/10.1007/s11518-018-5369-5","Article"
"From What to How: An Initial Review of Publicly Available AI Ethics Tools, Methods and Research to Translate Principles into Practices","Science and Engineering Ethics","","26","4","10.1007/s11948-019-00165-5","Jessica MorleyLuciano FloridiLibby KinseyAnat Elhalal","2020","http://link.springer.com/article/10.1007/s11948-019-00165-5","Article"
"A situation-aware safety service for children via participatory design","Journal of Ambient Intelligence and Humanized Computing","","6","2","10.1007/s12652-014-0225-z","Susanna Pantsar-SyväniemiMari ErvastiKaarina KarppinenAntti VäätänenVirpi OksmanEssi Kuure","2015","http://link.springer.com/article/10.1007/s12652-014-0225-z","Article"
"Design of Target Recognition System Based on Machine Learning Hardware Accelerator","Wireless Personal Communications","","102","2","10.1007/s11277-017-5211-2","Yu LiFengyuan YuQian CaiMeiyu QianPengfeng LiuJunwen GuoHuan YanKun YuanJuan Yu","2018","http://link.springer.com/article/10.1007/s11277-017-5211-2","Article"
"Reporting guidelines for clinical trials evaluating artificial intelligence interventions are needed","Nature Medicine","","25","10","10.1038/s41591-019-0603-3","","2019","http://link.springer.com/article/10.1038/s41591-019-0603-3","Article"
"Using a knowledge-based intelligent system to support dynamic design reasoning for a collaborative design community","The International Journal of Advanced Manufacturing Technology","","31","5 - 6","10.1007/s00170-005-0231-6","T. A. ChiangA. J. C. TrappeyC. C. Ku","2006","http://link.springer.com/article/10.1007/s00170-005-0231-6","Article"
"A task-oriented modular and agent-based collaborative design mechanism for distributed product development","Chinese Journal of Mechanical Engineering","","27","3","10.3901/CJME.2014.03.641","Jinfei LiuMing ChenLei WangQidi Wu","2014","http://link.springer.com/article/10.3901/CJME.2014.03.641","Article"
"Parameter coordination and optimization for collaborative design based on the constraints network","The International Journal of Advanced Manufacturing Technology","","32","11 - 12","10.1007/s00170-006-0433-6","Jie HuYinghong PengGuangleng Xiong","2007","http://link.springer.com/article/10.1007/s00170-006-0433-6","Article"
"The WALL: participatory design workspace in support of creativity, collaboration, and socialization","AI & SOCIETY","","26","3","10.1007/s00146-010-0307-1","Renate FruchterPetra Bosch-Sijtsema","2011","http://link.springer.com/article/10.1007/s00146-010-0307-1","Article"
"Proceedings from the 10th Annual Conference on the Science of Dissemination and Implementation","Implementation Science","","13","4","10.1186/s13012-018-0728-7","","2018","http://link.springer.com/article/10.1186/s13012-018-0728-7","Article"
"How stakeholder engagement influenced a randomized comparative effectiveness trial testing two Diabetes Prevention Program interventions in a Marshallese Pacific Islander Community","Journal of Translational Medicine","","17","1","10.1186/s12967-019-1793-7","Pearl A. McElfishBritni L. AyersHolly C. FelixChristopher R. LongZoran BursacJoseph Keawe‘aimoku KaholokulaSheldon RiklonWilliamina BingAnita IbanKaren Hye-cheon Kim Yeary","2019","http://link.springer.com/article/10.1186/s12967-019-1793-7","Article"
"SCIENTIFIC ABSTRACTS","Journal of General Internal Medicine","","33","2","10.1007/s11606-018-4413-y","","2018","http://link.springer.com/article/10.1007/s11606-018-4413-y","Article"
"A peer-to-peer-based multi-agent framework for decentralized grid workflow management in collaborative design","The International Journal of Advanced Manufacturing Technology","","41","3 - 4","10.1007/s00170-008-1482-9","J. W. YinW. Y. ZhangY. LiH. W. Chen","2009","http://link.springer.com/article/10.1007/s00170-008-1482-9","Article"
"Participatory design in the development of the wheelchair convoy system","Journal of NeuroEngineering and Rehabilitation","","5","1","10.1186/1743-0003-5-1","Vinod SharmaRichard C SimpsonEdmund F LoPrestiCasimir MostowyJoseph OlsonJeremy PuhlmanSteve HayashiRory A CooperEd KonarskiBarry Kerley","2008","http://link.springer.com/article/10.1186/1743-0003-5-1","Article"
"Entities’ representation modes and their communication effects in collaborative design for SMEs","The International Journal of Advanced Manufacturing Technology","","37","5 - 6","10.1007/s00170-007-0991-2","Chao-Hua WangShou-Yan Chou","2008","http://link.springer.com/article/10.1007/s00170-007-0991-2","Article"
"A remote CAE collaborative design system for complex product based on design resource unit","The International Journal of Advanced Manufacturing Technology","","53","9 - 12","10.1007/s00170-010-2908-8","Jiaqing YuJianzhong ChaYiping LuYu Zhuang","2011","http://link.springer.com/article/10.1007/s00170-010-2908-8","Article"
"Multi-agent negotiation based on price schedules algorithm for distributed collaborative design","Journal of Intelligent Manufacturing","","24","3","10.1007/s10845-011-0609-2","Yung-I LinYu-Wen ChouJiun-Yan ShiauChih-Hsing Chu","2013","http://link.springer.com/article/10.1007/s10845-011-0609-2","Article"
"Collaborative design in PDM/3D CAD integrated environment","Wuhan University Journal of Natural Sciences","","11","3","10.1007/BF02836681","Chen ZhuoningZhang FenYan XiaoguangBin Hongzan","2006","http://link.springer.com/article/10.1007/BF02836681","Article"
"18th ISoP Annual Meeting “Pharmacovigilance without borders” Geneva, Switzerland, 11–14 November, 2018","Drug Safety","","41","11","10.1007/s40264-018-0719-2","","2018","http://link.springer.com/article/10.1007/s40264-018-0719-2","Article"
"Machine learning and dynamic user interfaces in a context aware nurse application environment","Journal of Ambient Intelligence and Humanized Computing","","8","2","10.1007/s12652-016-0384-1","Nathaniel HamAmir DirinTeemu H. Laine","2017","http://link.springer.com/article/10.1007/s12652-016-0384-1","Article"
"A discussion of building automation and stakeholder engagement for the readiness of energy flexible buildings","Energy Informatics","","1","1","10.1186/s42162-018-0061-z","Zheng MaBo Nørregaard Jørgensen","2018","http://link.springer.com/article/10.1186/s42162-018-0061-z","Article"
"Collaborative design model review in the AEC industry","International Journal on Interactive Design and Manufacturing (IJIDeM)","","11","4","10.1007/s12008-016-0301-z","Juan Gonzalo CárcamoHelmuth TrefftzDiego Andrés AcostaLuis Fernando Botero","2017","http://link.springer.com/article/10.1007/s12008-016-0301-z","Article"
"ESICM LIVES 2017","Intensive Care Medicine Experimental","","5","2","10.1186/s40635-017-0151-4","","2017","http://link.springer.com/article/10.1186/s40635-017-0151-4","Article"
"Theorizing change in artificial intelligence: inductivising philosophy from economic cognition processes","AI & SOCIETY","","30","2","10.1007/s00146-013-0524-5","Debasis Patnaik","2015","http://link.springer.com/article/10.1007/s00146-013-0524-5","Article"
"Collaborative design and its evaluation through Kansei engineering approach","Artificial Life and Robotics","","18","3 - 4","10.1007/s10015-013-0123-z","Masatoshi ImaiYoshiro ImaiTetsuo Hattori","2013","http://link.springer.com/article/10.1007/s10015-013-0123-z","Article"
"Dual-process modeling and control method for new product collaborative design based on petri net","Journal of Ambient Intelligence and Humanized Computing","","10","3","10.1007/s12652-018-0904-2","Liang GuoChao Zhang","2019","http://link.springer.com/article/10.1007/s12652-018-0904-2","Article"
"A review of design intelligence: progress, problems, and challenges","Frontiers of Information Technology & Electronic Engineering","","20","12","10.1631/FITEE.1900398","Yong-chuan TangJiang-jie HuangMeng-ting YaoJia WeiWei LiYong-xing HeZe-jian Li","2019","http://link.springer.com/article/10.1631/FITEE.1900398","Article"
"Customer-driven product design and evaluation method for collaborative design environments","Journal of Intelligent Manufacturing","","22","5","10.1007/s10845-009-0334-2","Chen LiuAlejandro Ramirez-SerranoGuofu Yin","2011","http://link.springer.com/article/10.1007/s10845-009-0334-2","Article"
"Effects of personality traits on user trust in human–machine collaborations","Journal on Multimodal User Interfaces","","14","4","10.1007/s12193-020-00329-9","Jianlong ZhouSimon LuoFang Chen","2020","http://link.springer.com/article/10.1007/s12193-020-00329-9","Article"
"GIS-based groundwater potential mapping using boosted regression tree, classification and regression tree, and random forest machine learning models in Iran","Environmental Monitoring and Assessment","","188","1","10.1007/s10661-015-5049-6","Seyed Amir NaghibiHamid Reza PourghasemiBarnali Dixon","2015","http://link.springer.com/article/10.1007/s10661-015-5049-6","Article"
"Abstracts from the 2016 Society of General Internal Medicine Annual Meeting","Journal of General Internal Medicine","","31","2","10.1007/s11606-016-3657-7","","2016","http://link.springer.com/article/10.1007/s11606-016-3657-7","Article"
"A five-step approach for stakeholder engagement in prioritisation and planning of environmental evidence syntheses","Environmental Evidence","","6","1","10.1186/s13750-017-0104-0","Magnus LandBiljana MacuraClaes BernesSif Johansson","2017","http://link.springer.com/article/10.1186/s13750-017-0104-0","Article"
"Beyond ‘smart-only’ cities: redefining the ‘smart-everything’ paradigm","Journal of Ambient Intelligence and Humanized Computing","","10","2","10.1007/s12652-018-0824-1","Norbert Streitz","2019","http://link.springer.com/article/10.1007/s12652-018-0824-1","Article"
"Business and the Ethical Implications of Technology: Introduction to the Symposium","Journal of Business Ethics","","160","2","10.1007/s10551-019-04213-9","Kirsten MartinKatie ShiltonJeffery Smith","2019","http://link.springer.com/article/10.1007/s10551-019-04213-9","Article"
"Can Merging a Capability Approach with Effectual Processes Help Us Define a Permissible Action Range for AI Robotics Entrepreneurship?","Philosophy of Management","","17","1","10.1007/s40926-017-0059-9","Yuko KamishimaBart GremmenHikari Akizawa","2018","http://link.springer.com/article/10.1007/s40926-017-0059-9","Article"
"Health—exploring complexity: an interdisciplinary systems approach HEC2016","European Journal of Epidemiology","","31","1","10.1007/s10654-016-0183-1","Eva GrillMartin MüllerUlrich Mansmann","2016","http://link.springer.com/article/10.1007/s10654-016-0183-1","Article"
"The Ugly Truth About Ourselves and Our Robot Creations: The Problem of Bias and Social Inequity","Science and Engineering Ethics","","24","5","10.1007/s11948-017-9975-2","Ayanna HowardJason Borenstein","2018","http://link.springer.com/article/10.1007/s11948-017-9975-2","Article"
"An intelligent framework for modelling and simulation of artificial neural networks (ANNs) based on augmented reality","The International Journal of Advanced Manufacturing Technology","","111","5 - 6","10.1007/s00170-020-06192-y","D. MourtzisJ. Angelopoulos","2020","http://link.springer.com/article/10.1007/s00170-020-06192-y","Article"
"Success factors for serious games to enhance learning: a systematic review","Virtual Reality","","21","1","10.1007/s10055-016-0298-4","Werner Siegfried RavyseA. Seugnet BlignautVerona LeendertzAlex Woolner","2017","http://link.springer.com/article/10.1007/s10055-016-0298-4","Article"
"Abstracts","Annals of Behavioral Medicine","","50","1","10.1007/s12160-015-9766-4","","2016","http://link.springer.com/article/10.1007/s12160-015-9766-4","Article"
"Mutual Shaping in the Design of Socially Assistive Robots: A Case Study on Social Robots for Therapy","International Journal of Social Robotics","","12","4","10.1007/s12369-019-00536-9","Katie WinklePraminda Caleb-SollyAilie TurtonPaul Bremner","2020","http://link.springer.com/article/10.1007/s12369-019-00536-9","Article"
"SMOOTH Robot: Design for a Novel Modular Welfare Robot","Journal of Intelligent & Robotic Systems","","98","1","10.1007/s10846-019-01104-z","William K. JuelFrederik HaarslevEduardo R. RamírezEmanuela MarchettiKerstin FischerDanish ShaikhPoramate ManoonpongChristian HauchLeon BodenhagenNorbert Krüger","2020","http://link.springer.com/article/10.1007/s10846-019-01104-z","Article"
"International EcoHealth One Health Congress 2016","EcoHealth","","13","1","10.1007/s10393-016-1182-0","","2016","http://link.springer.com/article/10.1007/s10393-016-1182-0","Article"
"Abstracts","Annals of Behavioral Medicine","","49","1","10.1007/s12160-015-9688-1","","2015","http://link.springer.com/article/10.1007/s12160-015-9688-1","Article"
"COVID-Net: a tailored deep convolutional neural network design for detection of COVID-19 cases from chest X-ray images","Scientific Reports","","10","1","10.1038/s41598-020-76550-z","Linda WangZhong Qiu LinAlexander Wong","2020","http://link.springer.com/article/10.1038/s41598-020-76550-z","Article"
"The Challenges of Algorithm-Based HR Decision-Making for Personal Integrity","Journal of Business Ethics","","160","2","10.1007/s10551-019-04204-w","Ulrich Leicht-DeobaldThorsten BuschChristoph SchankAntoinette WeibelSimon SchafheitleIsabelle WildhaberGabriel Kasper","2019","http://link.springer.com/article/10.1007/s10551-019-04204-w","Article"
"ECR 2016 Book of Abstracts - B - Scientific Sessions and Clinical Trials in Radiology","Insights into Imaging","","7","1","10.1007/s13244-016-0475-8","","2016","http://link.springer.com/article/10.1007/s13244-016-0475-8","Article"
"Scientometric analysis of scientific publications in CSCW","Scientometrics","","114","1","10.1007/s11192-017-2562-0","António CorreiaHugo ParedesBenjamim Fonseca","2018","http://link.springer.com/article/10.1007/s11192-017-2562-0","Article"
"Posters","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0095-9","","2009","http://link.springer.com/article/10.1007/s12603-009-0095-9","Article"
"Infrastructuring as an Occasion for Resistance: Organized Resistance to Policy-Driven Information Infrastructure Development in the U.S. Healthcare Industry","Computer Supported Cooperative Work (CSCW)","","29","4","10.1007/s10606-020-09375-z","Dan Sholler","2020","http://link.springer.com/article/10.1007/s10606-020-09375-z","Article"
"Engineering sustainable mHealth: the role of Action Research","AI & SOCIETY","","32","3","10.1007/s00146-015-0640-5","Ulf GerhardtRüdiger BreitschwerdtOliver Thomas","2017","http://link.springer.com/article/10.1007/s00146-015-0640-5","Article"
"Intelligent construction technology of railway engineering in China","Frontiers of Engineering Management","","6","4","10.1007/s42524-019-0073-9","Chunfang LuJunfei LiuYanhong LiuYuming Liu","2019","http://link.springer.com/article/10.1007/s42524-019-0073-9","Article"
"Do virtual worlds create better real worlds?","Virtual Reality","","12","3","10.1007/s10055-008-0081-2","Mark P. Mobach","2008","http://link.springer.com/article/10.1007/s10055-008-0081-2","Article"
"Ethics parallel research: an approach for (early) ethical guidance of biomedical innovation","BMC Medical Ethics","","21","1","10.1186/s12910-020-00524-z","Karin R. JongsmaAnnelien L. Bredenoord","2020","http://link.springer.com/article/10.1186/s12910-020-00524-z","Article"
"Rationale and design of the REgistry of Fast Myocardial Perfusion Imaging with NExt generation SPECT (REFINE SPECT)","Journal of Nuclear Cardiology","","27","3","10.1007/s12350-018-1326-4","Piotr J. Slomka PhDJulian Betancur PhDJoanna X. Liang BAYuka Otaki MDLien-Hsin Hu MDTali Sharir MDSharmila Dorbala MD, MPHMarcelo Di Carli MDMathews B. Fish MDTerrence D. Ruddy MDTimothy M. Bateman MDAndrew J. Einstein MD, PhDPhilipp A. Kaufmann MDEdward J. Miller MD, PhDAlbert J. Sinusas MDPeyman N. Azadani MD","2020","http://link.springer.com/article/10.1007/s12350-018-1326-4","Article"
"Minutes of the 44th Genral Assembly of the European Association for the Study of Diabetes","Diabetologia","","52","1","10.1007/s00125-009-1445-1","","2009","http://link.springer.com/article/10.1007/s00125-009-1445-1","Article"
"Towards Responsible and Sustainable Supply Chains – Innovation, Multi-stakeholder Approach and Governance","Philosophy of Management","","19","3","10.1007/s40926-019-00114-z","Agata Gurzawska","2020","http://link.springer.com/article/10.1007/s40926-019-00114-z","Article"
"Implementation of Environmental Flows for Intermittent River Systems: Adaptive Management and Stakeholder Participation Facilitate Implementation","Environmental Management","","61","3","10.1007/s00267-017-0922-4","John ConallinEmma WilsonJosh Campbell","2018","http://link.springer.com/article/10.1007/s00267-017-0922-4","Article"
"Engaging Stakeholders in Emerging Economies: The Case of Multilatinas","Journal of Business Ethics","","152","4","10.1007/s10551-018-3820-7","Anabella DavilaCarlos Rodriguez-LluesmaMarta M. Elvira","2018","http://link.springer.com/article/10.1007/s10551-018-3820-7","Article"
"Preface: Special Issue on Multidisciplinary Approaches to AI and Education for Reading and Writing","International Journal of Artificial Intelligence in Education","","27","4","10.1007/s40593-017-0158-8","Rebecca J. PassonneauDanielle McNamaraSmaranda MuresanDolores Perin","2017","http://link.springer.com/article/10.1007/s40593-017-0158-8","Article"
"AI as a Methodology for Supporting Educational Praxis and Teacher Metacognition","International Journal of Artificial Intelligence in Education","","26","2","10.1007/s40593-016-0101-4","Kaśka Porayska-Pomsta","2016","http://link.springer.com/article/10.1007/s40593-016-0101-4","Article"
"A conceptual framework for multi-regional climate change assessments for international market systems with long-term investments","Climatic Change","","103","3 - 4","10.1007/s10584-009-9781-1","Julie A. WinklerSuzanne ThornsburyMarco ArtaviaFrank-M. ChmielewskiDieter KirschkeSangjun LeeMalgorzata LiszewskaScott LoveridgePang-Ning TanSharon ZhongJeffrey A. AndresenJ. Roy BlackRobert KurlusDenys NizalovNicole OlynkZbigniew Ustrnul","2010","http://link.springer.com/article/10.1007/s10584-009-9781-1","Article"
"Proactive CSR: An Empirical Analysis of the Role of its Economic, Social and Environmental Dimensions on the Association between Capabilities and Performance","Journal of Business Ethics","","115","2","10.1007/s10551-012-1405-4","Nuttaneeya Ann TorugsaWayne O’DonohueRob Hecker","2013","http://link.springer.com/article/10.1007/s10551-012-1405-4","Article"
"Gathering Expert Opinions for Social Robots’ Ethical, Legal, and Societal Concerns: Findings from Four International Workshops","International Journal of Social Robotics","","12","2","10.1007/s12369-019-00605-z","Eduard Fosch-VillarongaChristoph LutzAurelia Tamò-Larrieux","2020","http://link.springer.com/article/10.1007/s12369-019-00605-z","Article"
"Forum","Pharmaceutical Medicine","","33","1","10.1007/s40290-018-00264-x","","2019","http://link.springer.com/article/10.1007/s40290-018-00264-x","Article"
"Liberal Thought in Reasoning on CSR","Journal of Business Ethics","","97","4","10.1007/s10551-010-0529-7","Ulf Henning Richter","2010","http://link.springer.com/article/10.1007/s10551-010-0529-7","Article"
"Designing interfaces for explicit preference elicitation: a user-centered investigation of preference representation and elicitation process","User Modeling and User-Adapted Interaction","","22","4 - 5","10.1007/s11257-011-9116-6","Alina PommeranzJoost BroekensPascal WiggersWillem-Paul BrinkmanCatholijn M. Jonker","2012","http://link.springer.com/article/10.1007/s11257-011-9116-6","Article"
"Emergency design framework: a satellite preliminary scheme design","Frontiers of Mechanical Engineering in China","","2","2","10.1007/s11465-007-0031-9","Hongfei TengYishou WangBao Zhang","2007","http://link.springer.com/article/10.1007/s11465-007-0031-9","Article"
"Where and when AI and CI meet: exploring the intersection of artificial and collective intelligence towards the goal of innovating how we govern","AI & SOCIETY","","33","2","10.1007/s00146-018-0830-z","Stefaan G. Verhulst","2018","http://link.springer.com/article/10.1007/s00146-018-0830-z","Article"
"Use of Digital Mental Health for Marginalized and Underserved Populations","Current Treatment Options in Psychiatry","","6","3","10.1007/s40501-019-00181-z","Stephen M. Schueller PhDJohn F. Hunter PhDCaroline Figueroa MD, PhDAdrian Aguilera PhD","2019","http://link.springer.com/article/10.1007/s40501-019-00181-z","Article"
"Seminars","Annals of Behavioral Medicine","","45","2","10.1007/s12160-013-9469-7","ᅟ ᅟ","2013","http://link.springer.com/article/10.1007/s12160-013-9469-7","Article"
"Abstracts from the 7th International Jerusalem Conference on Health Policy","Israel Journal of Health Policy Research","","8","1","10.1186/s13584-019-0336-2","","2019","http://link.springer.com/article/10.1186/s13584-019-0336-2","Article"
"MNC strategy and social adaptation in emerging markets","Journal of International Business Studies","","45","7","10.1057/jibs.2014.8","Meng ZhaoSeung Ho ParkNan Zhou","2014","http://link.springer.com/article/10.1057/jibs.2014.8","Article"
"Reference architecture of common service platform for Industrial Big Data (I-BD) based on multi-party co-construction","The International Journal of Advanced Manufacturing Technology","","105","5 - 6","10.1007/s00170-019-04374-x","Xianyu ZhangXinguo MingDao Yin","2019","http://link.springer.com/article/10.1007/s00170-019-04374-x","Article"
"Developing technology for autism: an interdisciplinary approach","Personal and Ubiquitous Computing","","16","2","10.1007/s00779-011-0384-2","K. Porayska-PomstaC. FrauenbergerH. PainG. RajendranT. SmithR. MenziesM. E. FosterA. AlcornS. WassS. BernadiniK. AvramidesW. Keay-BrightJ. ChenA. WallerK. GuldbergJ. Good","2012","http://link.springer.com/article/10.1007/s00779-011-0384-2","Article"
"Barriers and Recommendations for Developing a Data Commons for the Implementation and Application of Cardiovascular Disease and Diabetes Risk Scoring in the Philippines","Current Epidemiology Reports","","7","2","10.1007/s40471-020-00232-7","Gerard G. DumancasRomulo de CastroJonel P. SaludesBridith S. PeñarandaGhalib A. BelloFelix Ray P. VillaBea Nestie Angeli L. VillarealWebster F. PadernalTeila Matilda A. PosecionMa. Luz Vicenta V. GuanzonJulius M. DrilonJaime C. Montoya","2020","http://link.springer.com/article/10.1007/s40471-020-00232-7","Article"
"25th Annual Conference of the International Society for Quality of Life Research","Quality of Life Research","","27","1","10.1007/s11136-018-1946-9","","2018","http://link.springer.com/article/10.1007/s11136-018-1946-9","Article"
"Smart technology applications in the woody biomass supply chain: interview insights and potential in Japan","Sustainability Science","","15","5","10.1007/s11625-019-00728-2","Amanda AhlMika GotoMasaru Yarime","2020","http://link.springer.com/article/10.1007/s11625-019-00728-2","Article"
"Abstracts 2014","Annals of Behavioral Medicine","","47","1","10.1007/s12160-014-9596-9","","2014","http://link.springer.com/article/10.1007/s12160-014-9596-9","Article"
"A “learning paradox” in maritime spatial planning","Maritime Studies","","19","3","10.1007/s40152-020-00169-z","Xander KeijserHilde ToonenJan van Tatenhove","2020","http://link.springer.com/article/10.1007/s40152-020-00169-z","Article"
"Known and unknown requirements in healthcare","Requirements Engineering","","25","1","10.1007/s00766-018-0301-6","Alistair SutcliffePete SawyerGemma StringerSamuel CouthLaura J. E. BrownAnn GledsonChristopher BullPaul RaysonJohn KeaneXiao-jun ZengIracema Leroi","2020","http://link.springer.com/article/10.1007/s00766-018-0301-6","Article"
"A randomized controlled trial comparing in-person and wiki-inspired nominal group techniques for engaging stakeholders in chronic kidney disease research prioritization","BMC Medical Informatics and Decision Making","","16","1","10.1186/s12911-016-0351-y","Meghan J. ElliottSharon E. StrausNeesh PannuSofia B. AhmedAndreas LaupacisGeorge C. ChongDavid R. HillierKate T. HuffmanAndrew C. LeiBerlene V. VillanuevaDonna M. YoungHelen Tam-ThamMaoliosa DonaldErin LillieBraden J. MannsBrenda R. Hemmelgarn","2016","http://link.springer.com/article/10.1186/s12911-016-0351-y","Article"
"CCDSF: A Computational Creative Design Systems Framework","New Generation Computing","","38","4","10.1007/s00354-020-00109-9","Jesús Pérez-RomeroWendy Aguilar","2020","http://link.springer.com/article/10.1007/s00354-020-00109-9","Article"
"Editorial for EAIT issue 5, 2020","Education and Information Technologies","","25","5","10.1007/s10639-020-10301-5","Arthur Tatnall","2020","http://link.springer.com/article/10.1007/s10639-020-10301-5","Article"
"SmartPaint: a co-creative drawing system based on generative adversarial networks","Frontiers of Information Technology & Electronic Engineering","","20","12","10.1631/FITEE.1900386","Lingyun SunPei ChenWei XiangPeng ChenWei-yue GaoKe-jun Zhang","2019","http://link.springer.com/article/10.1631/FITEE.1900386","Article"
"Citizen Science: An Information Quality Research Frontier","Information Systems Frontiers","","22","4","10.1007/s10796-019-09915-z","Roman LukyanenkoAndrea WigginsHolly K. Rosser","2020","http://link.springer.com/article/10.1007/s10796-019-09915-z","Article"
"Quality assessment of clinical practice guidelines for chronic kidney disease: a systematic review","BMC Nephrology","","20","1","10.1186/s12882-019-1387-x","Jorge Coronado DazaRobin W. M. VernooijKarla SalasDimelza OsorioGerard Urrútia Cuchí","2019","http://link.springer.com/article/10.1186/s12882-019-1387-x","Article"
"Crowdsourcing intelligent design","Frontiers of Information Technology & Electronic Engineering","","19","1","10.1631/FITEE.1700810","Wei XiangLing-yun SunWei-tao YouChang-yuan Yang","2018","http://link.springer.com/article/10.1631/FITEE.1700810","Article"
"Petri nets based coordination component for CSCW environment","Journal of Mechanical Science and Technology","","19","5","10.1007/BF02984034","Hong-Zhong HuangXu Zu Feng Zhou","2005","http://link.springer.com/article/10.1007/BF02984034","Article"
"Principles of convergence in nature and society and their application: from nanoscale, digits, and logic steps to global progress","Journal of Nanoparticle Research","","22","11","10.1007/s11051-020-05032-0","Mihail C. Roco","2020","http://link.springer.com/article/10.1007/s11051-020-05032-0","Article"
"Computer-supported argumentation: A review of the state of the art","International Journal of Computer-Supported Collaborative Learning","","5","1","10.1007/s11412-009-9080-x","Oliver ScheuerFrank LollNiels PinkwartBruce M. McLaren","2010","http://link.springer.com/article/10.1007/s11412-009-9080-x","Article"
"Abstracts from the 38th Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","30","2","10.1007/s11606-015-3271-0","","2015","http://link.springer.com/article/10.1007/s11606-015-3271-0","Article"
"Data mining in manufacturing: a review based on the kind of knowledge","Journal of Intelligent Manufacturing","","20","5","10.1007/s10845-008-0145-x","A. K. ChoudharyJ. A. HardingM. K. Tiwari","2009","http://link.springer.com/article/10.1007/s10845-008-0145-x","Article"
"Collaborative robust optimization under uncertainty based on generalized dynamic constraints network","Structural and Multidisciplinary Optimization","","38","2","10.1007/s00158-008-0271-2","W. M. WangY. H. PengJ. HuZ. M. Cao","2009","http://link.springer.com/article/10.1007/s00158-008-0271-2","Article"
