"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Conflict resolution in multi-agent systems based on negotiation and arbitrage","H. Kai; Z. Zhonghua; Q. Zheng; L. Bing","School of Electronics & Information Engineering, Xi'an Jiaotong University, Xi'an, China; School of Electronics & Information Engineering, Xi'an Jiaotong University, Xi'an, China; China Satellite Maritime Tracking & Control Department, Jiangyin, China; China Satellite Maritime Tracking & Control Department, Jiangyin, China","2010 2nd IEEE International Conference on Information Management and Engineering","3 Jun 2010","2010","","","304","307","The multi-agent system is the subject of a stream of research within distributed artificial intelligence. For achieving a solution to a certain global problem, each agent has its own local goal to be fulfilled. When working on a shared goal each agent would like its priorities to be given the most consideration. Unfortunately, many agents' priorities (arising from their own personal goals) will not be coherent with their fellow agents', thus leading to the conflict problem. This paper presents a formal and executable approach to resolve conflict in multi-agent systems by negotiation and arbitrage. We give the definition of agent, action, environment, negotiation process in formalization. Negotiation and arbitrage strategies of conflict resolution are also presented. Agents can arrive at good solutions by using the above strategies.","","978-1-4244-5263-7","10.1109/ICIME.2010.5478068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5478068","conflict resolution;multi-agent systems;negotiation;arbitrage","Multiagent systems;Artificial satellites;Artificial intelligence;Collaboration;Fellows;Power generation economics;Environmental economics;Energy management;Power system management;Runtime","multi-agent systems","conflict resolution;multiagent systems;distributed artificial intelligence;negotiation process;arbitrage strategies","","","","11","IEEE","3 Jun 2010","","","IEEE","IEEE Conferences"
"Knowledge representation in an agent-based collaborative product design environment","Jian Xun Wang; Ming Xi Tang","DTRC, School of Design, Hong Kong Polytechnic University, Hong Kong, China; DTRC, School of Design, Hong Kong Polytechnic University, Hong Kong, China","Proceedings of the Ninth International Conference on Computer Supported Cooperative Work in Design, 2005.","6 Sep 2005","2005","1","","423","428 Vol. 1","Product design tends to be more complex and needs the effective cooperation among multidisciplinary designers and engineers. An ideal product design environment, which is both collaborative and intelligent, will be much appreciated. Agent technology is an innovative and promising approach to implementing distributed systems and is becoming popular in various areas of computing in recent years. In this paper, the dynamic nature of collaborative design process and the representation of collaborative design knowledge are presented. In order to model constantly evolving design process and the rationales resulted from collaboration, a Collaborative Product Data Model (CPDM), which extends traditional Product Data Model (PDM), and a constraint-based Collaborative Design Process Model (CDPM) are proposed. These are intended to facilitate the management and coordination of collaborative product design process and knowledge management. A design example is used to illustrate CDPM. While the system is being implemented, the architecture of our agent-based collaborative product design environment based on CPDM and CDPM is described.","","1-84600-002-5","10.1109/CSCWD.2005.194209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1504116","","Knowledge representation;Collaboration;Product design;Collaborative work;Process design;Intelligent agent;Data models;Design engineering;Knowledge management;Manufacturing","product design;knowledge representation;groupware;software agents;multi-agent systems;data models","knowledge representation;agent-based collaborative product design environment;Collaborative Product Data Model;constraint-based Collaborative Design Process Model;knowledge management;computer-supported cooperative work;collaborative design coordination;knowledge discovery","","4","","13","","6 Sep 2005","","","IEEE","IEEE Conferences"
"Co-Design: Sustainable Innovation Power of Landscape Co-Creation in the Context of Third Class Intelligence","R. Tang; C. Huang; Z. Zhang","School of Art and Design, Nanjing Forest University, Nanjing, China; School of Art and Design, Nanjing Forest University, Nanjing, China; School School of Mechanical Engineering, Southeast University, Nanjing, China","2022 28th International Conference on Mechatronics and Machine Vision in Practice (M2VIP)","16 Feb 2023","2022","","","1","5","Artificial intelligence will become a core element of smart cities in the future, and the updated iterations of digital and technology will significantly promote upgrading all aspects of value, choice, and creation. When artificial intelligence is sweeping the design field, the coverage of design engagement ability has expanded from a single audience to various areas. The value of sensory visualization and co-creation in interaction has increased. This paper summarizes the many changes that AI has brought to landscape design in a linear time sequence and explores the co-design capabilities of the third type of intelligence under the co-evolution of humans and AI from multiple dimensions. It also discusses landscape co-creation's sustainable and innovative power in environmental art, interactive installation, and digital drawing.","","979-8-3503-3433-3","10.1109/M2VIP55626.2022.10041107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041107","A Third Intelligence;Landscape Design;Co-Creative Design","Visualization;Technological innovation;Mechatronics;Art;Smart cities;Machine vision;Artificial intelligence","artificial intelligence;innovation management;smart cities","AI;artificial intelligence;co-design capabilities;design engagement ability;design field;digital drawing;digital technology;environmental art;interactive installation;landscape co-creation;landscape design;linear time sequence;sensory visualization;single audience;smart cities;sustainable innovation power;third class intelligence","","","","24","IEEE","16 Feb 2023","","","IEEE","IEEE Conferences"
"Towards the development of a personalized healthcare solution for elderly: from user needs to system specifications","L. Bajenaru; I. A. Marinescu; C. Dobre; G. I. Prada; C. S. Constantinou","National Institute for Research and Development in Informatics Bucharest, Romania; National Institute for Research and Development in Informatics Bucharest, Romania; National Institute for Research and Development in Informatics Bucharest, Romania; National Institute of Gerontology and Geriatrics ""Ana Aslan""; University of Nicosia, Nicosia, Cyprus","2020 12th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)","16 Oct 2020","2020","","","1","6","Due to the demographic changes, the demand for care services adapted to the elderly will have an unprecedented growth globally. In this situation, maintaining quality of life (QoL) and wellbeing for older adults will need support of complementary, nontraditional, ICT-based care practices. vINCI project, part of the European research effort in this domain, aims to deliver an integrated technology for the monitoring and instrumentation of the QoL intervention for older adults. The process of designing the vINCI application is based on the patient profile model that will be the input to provide personalized healthcare. The profile is used as evidence to evaluate the impact of vINCI solution on the perceived quality of life provided by caregivers. This paper proposes a complementary approach in modelling the user profile by identifying the needs and preferences of elderly and translating them into development requirements of the vINCI monitoring platform. In this respect, this paper proposes a methodology and methods to define user needs, which are based upon the User Centered Design principles, such as user surveys. The needs survey provides information that is used to specify the needed functional and nonfunctional requirements that vINCI platform must support.","","978-1-7281-6843-2","10.1109/ECAI50035.2020.9223254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223254","elderly;healthcare;patient profile;user needs specifications;vINCI system;Participatory design","Senior citizens;Monitoring;Medical services;Medical diagnostic imaging;Heart;Europe;User centered design","geriatrics;health care;user centred design","integrated technology;instrumentation;QoL intervention;older adults;patient profile model;user profile;vINCI monitoring platform;user centered design principles;user surveys;vINCI platform;personalized healthcare solution;demographic changes;care services;unprecedented growth;nontraditional ICT-based care practices;European research effort;ICT-based care practices","","10","","19","IEEE","16 Oct 2020","","","IEEE","IEEE Conferences"
"A semantic-aided Designer for Knowledge Discovery","C. Diamantini; D. Potena; E. Storti","Dipartimento di Ingegneria Informatica, Gestionale e dell'Automazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria Informatica, Gestionale e dell'Automazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria Informatica, Gestionale e dell'Automazione, Università Politecnica delle Marche, Ancona, Italy","2011 International Conference on Collaboration Technologies and Systems (CTS)","11 Jul 2011","2011","","","86","93","Knowledge Discovery in Databases (KDD), as any scientific experimentation in e-Science, is a complex and computationally intensive process aimed at gaining knowledge from a huge set of data. Often performed in distributed settings, a KDD project usually involves a deep interaction between tools and several users with specific expertise, which can be either a co-located group or a geographically distributed virtual team of experts. Given the complexity of the process, such users need some support to achieve their goal of knowledge extraction. This paper introduces KDDesigner, a web-based semantic-driven tool aimed at supporting users in the collaborative design of a KDD process. In this paper we address semantic issues related to the collaborative project managment: tool localization, tool integration, interfaces matchmaking, process execution, team building and process versioning.","","978-1-61284-639-2","10.1109/CTS.2011.5928669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5928669","Knowledge Discovery in Databases processes;Collaborative Design;Process Composition;Web Services;KDD Ontology","Collaboration;Data mining;Semantics;Algorithm design and analysis;Web services;Ontologies;Databases","data mining;groupware;Internet;knowledge acquisition;scientific information systems","e-Science;KDD project;geographically distributed virtual team;knowledge extraction;Web based semantic driven tool;collaborative design;collaborative project management;tool localization;tool integration;interface matchmaking;process execution;team building;process versioning;knowledge discovery in databases","","3","","19","IEEE","11 Jul 2011","","","IEEE","IEEE Conferences"
"iCare Designer: A Rule-Driven Layout Co-Designing System for Elderly Caring","Y. Sun; J. Zhou; D. Yao; L. He","Shanghai Key Laboratory of Multidimensional Information Processing, East China Normal University, Shanghai, China; Shanghai Key Laboratory of Multidimensional Information Processing, East China Normal University, Shanghai, China; Department of Architecture, Tongji University, Shanghai, China; Shanghai Key Laboratory of Multidimensional Information Processing, East China Normal University, Shanghai, China","2019 IEEE 23rd International Conference on Computer Supported Cooperative Work in Design (CSCWD)","8 Aug 2019","2019","","","362","367","In CSCW and related fields, computer supported collaborative design has been used in various fields. Yet, there has been little research focusing on the collaborative context design for elderly caring. For filling this gap, this paper explores a notion of rule-driven layout co-designing system for elderly caring. What makes it distinct from other layout designing system is that it employs hierarchically modularization to store all standardized components that are needed for the aging caring space, and embeds intelligence algorithm into the typical evidence-based design for improving design efficiency and reducing design costs. In this paper, we designed and implemented a prototype called iCare Designer, and conducted a preliminary study to understand how this notion works in reality. While findings of the preliminary study suggest promises of the notion of rule-driven space layout co-designing system, it reveals some challenges this kind of systems to truly work in practices, mainly reflecting in its flexibility and perception to ambient environment. An in-depth discussion is provided in the end.","","978-1-7281-0350-1","10.1109/CSCWD.2019.8791929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8791929","Collaborative design;rule;layout;healthcare;elderly;aging","Layout;Aging;Senior citizens;Proposals;Collaboration;Optimization;Prototypes","assisted living;geriatrics;groupware","design costs;iCare Designer;CSCW;rule-driven space layout co-designing system;design efficiency;typical evidence-based design;aging caring space;layout designing system;rule-driven layout co-designing system;elderly caring;collaborative context design;collaborative design","","","","39","IEEE","8 Aug 2019","","","IEEE","IEEE Conferences"
"The participatory design of a simulation training game","H. Lukosch; T. van Ruijven; A. Verbraeck","Delft University of Technology, Delft, Netherlands; Delft University of Technology, Delft, Netherlands; Delft University of Technology, Delft, Netherlands","Proceedings of the 2012 Winter Simulation Conference (WSC)","21 Feb 2013","2012","","","1","11","Serious games show to have positive impact on training results. Advantages of simulation games lay in the provision of a safe training environment, where users are able to play, test and probe without serious consequences. At the same time, it is important to engage learners by providing a motivating, challenging environment, which becomes meaningful to the player when skills and knowledge acquired within the game are transferrable to real work tasks. With the use of a participatory game design approach, we developed an immersive, meaningful virtual training environment to improve situational awareness skills. Feedback of game developers as well as from test groups shows that the participatory approach to game development lead to a meaningful experience within an authentic virtual training environment. High functional and physical fidelity, a high degree of realism, compared with challenging game elements makes the developed serious game an appropriate training tool for situational awareness skills.","1558-4305","978-1-4673-4782-2","10.1109/WSC.2012.6465218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6465218","","Games;Training;Security;Engines;Prototypes;Context;Educational institutions","computer based training;computer games;knowledge management;virtual reality","simulation training games;knowledge transfer;participatory game design approach;virtual training environment;situational awareness skills;game developers;test groups;game development;physical fidelity;functional fidelity;safe training environment","","17","","25","IEEE","21 Feb 2013","","","IEEE","IEEE Conferences"
"Exploring the Nuances of Designing (with/for) Artificial Intelligence","N. Stoimenova; R. Price",NA; NA,"Design Issues","29 Sep 2020","2020","36","4","45","55","A fundamental shift in the way society operates is approaching driven by advances in the field of artificial intelligence (AI). Yet, there is a comparative lack of discourse across the design discipline regarding this topic. While there are fragments of methodological readiness for designing (with/for) AI, the nuances of such need to be further explored. The aim of this article is to shed light on these and suggest a possible way forward for design that can ensure AI-powered artifacts remain safe even as their utility evolves over time.","0747-9360","","10.1162/desi_a_00613","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9209187","artificial intelligence;design;infrastructuring;nuances","","","","","1","","","Traditional","29 Sep 2020","","","MIT Press","MIT Press Journals"
"Combining Human and Machine Intelligence to Foster Wider Adoption of e-Services","K. Zabaleta; A. B. Lago; D. López-De-Ipiña; G. Di Modica; R. Santos De La Cámara; M. Pistore","Deusto Institute of Technology DeustoTech, University of Deusto, Bilbao, Spain; Deusto Institute of Technology DeustoTech, University of Deusto, Bilbao, Spain; Deusto Institute of Technology DeustoTech, University of Deusto Bilbao, Bilbao, Spain; BEng Business Engineering s.r.l., Catania, Italy; R&D Department, HI Iberia Ingenierıa y Proyectos, S.L., Madrid, Spain; FBK, Trento, Italy","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","9 Apr 2020","2019","","","1854","1859","Hybrid Intelligence (HI) combines machine and human intelligence to overcome the shortcomings of existing AI systems, i.e. prevent the mistakes and failures that would be caused by an AI system working alone. This paper describes how the SIMPATICO project has used HI to contribute towards a further democratisation of e-services, i.e. making easier for citizens to complete the web-based services offered by public administrations (PAs). The Open Government solution proposed has been deployed and evaluated in three European pilots. This paper reflects on the results obtained applying the SIMPATICO solution to one of those PAs, i.e. regional government of Galicia in Spain. This reflection should help illustrating the ample potential of applying HI to give place to smarter more accessible humanfacing services.","","978-1-7281-4034-6","10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00326","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060327","Open Government;Artificial Intelligence;Human Computation","Government;Stakeholders;Tools;Syntactics;Artificial intelligence;Collaboration;Engines","artificial intelligence;government data processing;Internet;public administration","hybrid intelligence;human intelligence;AI system;SIMPATICO project;Web-based services;public administrations;European pilots;SIMPATICO solution;human facing services;open government solution;machine intelligence;e-services democratisation;e-services adoption;Galicia;Spain","","1","","14","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
"The ABCs of Assured Autonomy","J. M. Mueller","National Security Analysis Department, Johns Hopkins University Applied Physics Laboratory, Laurel, MD, USA","2019 IEEE International Symposium on Technology and Society (ISTAS)","23 Dec 2019","2019","","","1","5","Each passing day seems to bring new instances of automation of routine tasks and the addition of artificial intelligence or machine learning algorithms to new domains. Autonomous systems are a diverse class of technologies ranging from AI driven natural language processing and image recognition to closed-form control systems for aircraft autopiloting. Coincident with this explosion in autonomy is a related drumbeat of stories of AI failures. These failures have ranged from tragedies resulting in bystander deaths to humorous examples of video game flaws being exploited. Widespread deployment and use of autonomous systems will depend on society trusting that these systems will perform as expected. While bias from incomplete training data is a well-trod area for improvement toward reducing AI failures, it is unclear if this bias is a sufficient or merely a necessary condition for loss of trust. What else may be needed for public assurance in autonomous systems? Here we identify three features of diverse autonomous systems that serve as a foundation for assured autonomy. These features are: the accuracy with which the algorithm senses and perceives the environment in a manner relatable to humans; a reduction in bias driven by the training data and algorithmic bias; and the complexity of the algorithmic process in terms of the ability to reverse engineer the decision-making processes. Building from this foundation, future autonomous systems can begin to reverse the loss of trust starting to be seen with respect to these technologies.","2158-3412","978-1-7281-5480-0","10.1109/ISTAS48451.2019.8938010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8938010","Assured Autonomy;Artificial Intelligence;Trust;Bias","Autonomous systems;Complexity theory;Training data;Control systems;Automation;Image recognition","learning (artificial intelligence);social aspects of automation;technology acceptance model","assured autonomy;artificial intelligence;AI failures;incomplete training data;public assurance;autonomous systems;routine tasks automation;societal acceptance","","1","","33","IEEE","23 Dec 2019","","","IEEE","IEEE Conferences"
"Towards the Fourth Industrial Revolution in Namibia: An Undergraduate AI Course Africanized","A. Shipepe; L. Uwu-Khaeb; E. A. Kolog; M. Apiola; K. Mufeti; E. Sutinen","Department of Computing, Mathematical and Statistical Sciences, University of Namibia; Department of Computing, Mathematical and Statistical Sciences, University of Namibia; Department of Operations and Management Information Systems, University of Ghana; Department of Computing, University of Turku, Finland; Department of Computing, Mathematical and Statistical Sciences, University of Namibia; Department of Computing, University of Turku, Finland","2021 IEEE Frontiers in Education Conference (FIE)","20 Dec 2021","2021","","","1","8","In this Full Paper, we report our experiences of teaching AI in a Namibian university in collaboration with a Finnish university and a few companies. Within the Computing Education Community, only a minority of research reports have experience teaching Artificial Intelligence (AI), and very little research has been conducted on teaching and learning AI in Africa. Given the high importance and impact of AI, this is alarming. Learning and teaching AI in an African higher education setting provides unique challenges compared to the standardized approach in the Global North. Our undergraduate course in AI was carried out in a novel way that emphasized the creative application of AI to meet the requirements of the Fourth Industrial Revolution (4IR). We chose an approach that helps Computer science graduates to explore and get inspired by the opportunities of AI at the ground.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637356","computing education;Africa;AI;4IR;Robotics","Computer science;Educational robots;Conferences;Education;Prototypes;Africa;Learning (artificial intelligence)","artificial intelligence;computer aided instruction;computer science education;educational courses;educational institutions;further education;learning (artificial intelligence);teaching","research reports;teaching AI;African higher education setting;undergraduate course;Fourth Industrial Revolution;undergraduate AI course africanized;Namibian university;Finnish university;Computing Education Community","","","","29","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"PhenoLines: Phenotype Comparison Visualizations for Disease Subtyping via Topic Models","M. Glueck; M. P. Naeini; F. Doshi-Velez; F. Chevalier; A. Khan; D. Wigdor; M. Brudno","Autodesk Research and University, Toronto; Harvard University; Harvard University; Inria; Autodesk Research; University of Toronto; Hospital for Sick Children, University of Toronto","IEEE Transactions on Visualization and Computer Graphics","4 Dec 2017","2018","24","1","371","381","PhenoLines is a visual analysis tool for the interpretation of disease subtypes, derived from the application of topic models to clinical data. Topic models enable one to mine cross-sectional patient comorbidity data (e.g., electronic health records) and construct disease subtypes-each with its own temporally evolving prevalence and co-occurrence of phenotypes-without requiring aligned longitudinal phenotype data for all patients. However, the dimensionality of topic models makes interpretation challenging, and de facto analyses provide little intuition regarding phenotype relevance or phenotype interrelationships. PhenoLines enables one to compare phenotype prevalence within and across disease subtype topics, thus supporting subtype characterization, a task that involves identifying a proposed subtype's dominant phenotypes, ages of effect, and clinical validity. We contribute a data transformation workflow that employs the Human Phenotype Ontology to hierarchically organize phenotypes and aggregate the evolving probabilities produced by topic models. We introduce a novel measure of phenotype relevance that can be used to simplify the resulting topology. The design of PhenoLines was motivated by formative interviews with machine learning and clinical experts. We describe the collaborative design process, distill high-level tasks, and report on initial evaluations with machine learning experts and a medical domain expert. These results suggest that PhenoLines demonstrates promising approaches to support the characterization and optimization of topic models.","1941-0506","","10.1109/TVCG.2017.2745118","Genome Canada and Ontario Genomics; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8019821","Developmental disorder;Human Phenotype Ontology (HPO);Phenotypes;Topic models;Topology simplification","Diseases;Data models;Visualization;Biological system modeling;Analytical models;Data visualization;Tools","data analysis;data mining;data visualisation;diseases;genetics;health care;learning (artificial intelligence);medical computing;ontologies (artificial intelligence)","disease subtyping;topic models;disease subtypes;longitudinal phenotype data;disease subtype topics;phenolines;phenotype comparison visualizations;cross-sectional patient comorbidity data;human phenotype ontology;data transformation workflow;machine learning;clinical experts","","20","","57","IEEE","29 Aug 2017","","","IEEE","IEEE Journals"
"Peer-to-peer collaborative editing of ontologies","G. Xexeo; J. M. de Souza; A. Vivacqua; B. Miranda; B. Braga; B. K. Almentero; J. N. D' Almeida; R. Castilho","DCC/IM-UFRJ, Rio de Janeiro, Brazil; DCC/IM-UFRJ, Rio de Janeiro, Brazil; PESC/COPPE/Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; PESC/COPPE/Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; PESC/COPPE/Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; PESC/COPPE/Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; PESC/COPPE/Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil; PESC/COPPE/Universidade Federal do Rio de Janeiro, Rio de Janeiro, Brazil","8th International Conference on Computer Supported Cooperative Work in Design","8 Nov 2004","2004","2","","186","190 Vol.2","In This work we present COE, a peer-to-peer collaborative ontology editor, which supports creation, edition, sharing, and reuse of ontologies. COE was implemented on top of a general-purpose peer-to-peer framework, COPPEER. Ontologies are particularly useful as a design tool because they render the communication between people and the interoperability between systems easier. In large multidisciplinary design projects, ontologies can be a critical success factor. The collaborative creation of ontologies allows for better understanding among participants of a project and economy of resource among projects. Meanwhile, a P2P approach is expected to enable new modes of collaboration.","","0-7803-7941-1","10.1109/CACWD.2004.1349181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1349181","","Peer to peer computing;Collaboration;Ontologies;Process design;Knowledge management;Automobiles;Vocabulary;Computer science;Programming;Artificial intelligence","peer-to-peer computing;groupware;open systems;ontologies (artificial intelligence)","peer-to-peer collaborative editing;peer-to-peer collaborative ontology editor;ontology creation;ontology edition;ontology sharing;ontology reuse;COPPEER;design tool;interoperability","","3","","15","IEEE","8 Nov 2004","","","IEEE","IEEE Conferences"
"Systemic Oversimplification Limits the Potential for Human-AI Partnership","J. S. Metcalfe; B. S. Perelman; D. L. Boothe; K. Mcdowell","U.S. Combat Capabilities Development Command Army Research Laboratory, Aberdeen Proving Ground, MD, USA; U.S. Combat Capabilities Development Command Army Research Laboratory, Aberdeen Proving Ground, MD, USA; U.S. Combat Capabilities Development Command Army Research Laboratory, Aberdeen Proving Ground, MD, USA; U.S. Combat Capabilities Development Command Army Research Laboratory, Aberdeen Proving Ground, MD, USA","IEEE Access","17 May 2021","2021","9","","70242","70260","The modern world is evolving rapidly, especially with respect to the development and proliferation of increasingly intelligent, artificial intelligence (AI) and AI-related technologies. Nevertheless, in many ways, what this class of technologies has offered as return on investment remains less impressive than what has been promised. In the present paper, we argue that the continued failure to realize the potential in modern AI and AI-related technologies is largely attributable to the oversimplified, yet pervasive ways that our global society treats the relationship between these technologies and humans. Oversimplified concepts, once conveyed, tend to perpetuate myths that in turn limit the impact of such technologies in human society. To counter these oversimplifications, we offer a theoretical construct, which we call the landscape of human-AI partnership. This construct characterizes individual capability for real-world task performance as a dynamic function of information certainty, available time to respond, and task complexity. With this, our goal is to encourage more nuanced discourse about novel ways to solve challenges to modern and future sociotechnical societies, but without defaulting to notions that remain rooted in today's technologies-as-tools ways of thinking. The core of our argument is that society at large must recognize that intelligent technologies are evolving well beyond being mere tools for human use and are instead becoming capable of operating as interdependent teammates. This means that how we think about interactions between humans and AI needs to go beyond a “Human-or-AI” conversation about task assignments to more contextualized “Human-and-AI” way of thinking about how best to capitalize on the strengths hidden within emergent capabilities of unique human-AI partnerships that have yet to be fully realized.","2169-3536","","10.1109/ACCESS.2021.3078298","U.S. Department of Defense through the Human Autonomy Teaming Essential Research Program of the U.S. DEVCOM Army Research Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425540","Human-AI partnership;human-autonomy teaming;sociotechnical systems;AI ecosystems;function allocation;task complexity;capability;use cases;implementation","Artificial intelligence;Task analysis;Complexity theory;Tools;Robot sensing systems;Ecosystems;Aging","artificial intelligence;human computer interaction;ubiquitous computing","artificial intelligence;AI-related technologies;human-AI partnership;intelligent technologies","","1","","143","CCBY","7 May 2021","","","IEEE","IEEE Journals"
"Democratization of AI: Challenges of AI Cyberinfrastructure and Software Research","B. Plale; S. Khan; A. Morales","Intelligent Systems Engineering, Indiana University, Bloomington, IN, USA; Informatics Indiana University, Bloomington, IN, USA; Planning and Landscape Architecture, University of Wisconsin, Madison, WI, USA","2023 IEEE 19th International Conference on e-Science (e-Science)","25 Sep 2023","2023","","","1","3","Large scale virtual teams working in the academic setting who assemble to carry out research that results in contributions to national cyberinfrastructure face a set of competing challenges. For the research team that is exploring AI, these challenges come into high relief when examined through the lense of responsibility to society. What form does responsibility for downstream uses of AI take in an NSF funded AI Institute, especially one that has as its priority to advance AI in and for cyberinfrastructure? In this brief abstract we identify the competing interests, and show how they raise challenges when analyzed through the lense of Democratizing AI. Our background is our now 2-year involvement in the NSF AI Institute Intelligent Cyberinfrastructure with Computational Learning in the Environment (ICICLE) [2].","2325-3703","979-8-3503-2223-1","10.1109/e-Science58273.2023.10254950","National Science Foundation(grant numbers:2112606); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10254950","AI Democratization;Cyberinfrastructure Software;AI research","Virtual groups;Software;Artificial intelligence;Faces;Lenses","artificial intelligence;social aspects of automation;team working","academic setting;AI democratization;ICICLE;national cyberinfrastructure;NSF AI Institute Intelligent Cyberinfrastructure with Computational Learning in the Environment;NSF funded AI Institute;scale virtual teams;software research","","","","6","IEEE","25 Sep 2023","","","IEEE","IEEE Conferences"
"Cooperative design on auto body layout basing on KBE in CATIA V5","Yu Duonian; Han Yingcun; Wang Jia; Feng Yan","Department of Industrial Design, Jilin University, China; Department of Industrial Design, Jilin University, China; Product project Department, FAW Car Company Limited, China; Research &Development center, Brilliance Company Limited, China","2008 9th International Conference on Computer-Aided Industrial Design and Conceptual Design","30 Dec 2008","2008","","","628","632","The use of CATIA V5 strong knowledge base on engineering and parametric modeling capabilities, and organically combining the two, collaborative design of the car body layout can achieve. The entire relevant parametric auto body layout driven by knowledge can be realized basing on character of object and the connection between characters.","","978-1-4244-3290-5","10.1109/CAIDCD.2008.4730645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4730645","CATIA V5 KBE;Parametric Design;Auto Body layout;Collaborative Design","Knowledge engineering;Humans;Design engineering;Automobiles;Research and development;Automotive engineering;Parametric statistics;Collaboration;Collaborative work;Constraint optimization","automobile industry;CAD;groupware;knowledge based systems","cooperative design;auto body layout;KBE;CATIA V5;knowledge base;parametric modeling;car body layout","","1","","4","IEEE","30 Dec 2008","","","IEEE","IEEE Conferences"
"IEEE Draft Standard for Well-being Metrics for Autonomous and Intelligent Systems","",,"IEEE P7010/D1, June 2019","10 Jun 2019","2019","","","1","88","IEEE Project 7010 Well-being Metrics for Autonomous and intelligent Systems is a standard for measuring the impact of artificial intelligence or autonomous and intelligent systems (A/IS) on humans. The overall intent of IEEE P7010 is to supports the outcome of A/IS having positive impacts on human well-being. It is the tenth of a series of standards in the P70xx series, all of which emerged from the IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems. The standard is grounded in scientifically valid well-being indices currently in use and based on a stakeholder engagement process. The intent of the standard is to guide product development, identify areas for improvement, manage risks, assess performance and identify intended and unintended users, uses and impacts on human well-being of A/IS products, services, and systems.","","978-1-5044-5881-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8734141","Well-being metrics;well-being indicators;Artificial intelligence;Autonomous and Intelligent Systems","IEEE Standards;Autonomous systems;Intelligent systems;Measurement;Artificial intelligence","","","","","","","","10 Jun 2019","","","IEEE","IEEE Standards"
